t-SNE1,t-SNE2,Label
-6.7108107,-26.583183,2
18.346825,-24.15904,1
-29.786531,11.391615,3
12.490658,28.502901,2
-8.326797,1.253538,1
2.222463,23.61902,0
10.714554,-25.427622,0
-9.127757,-4.3908935,0
11.764755,32.01719,3
-10.345106,2.0995674,1
-23.678928,15.838717,0
-10.294761,28.906637,1
2.809803,-2.498753,3
26.692083,6.243543,1
1.6771476,9.811128,3
-27.799976,-18.529495,3
-9.345002,-16.199131,3
-2.900705,25.4448,3
-17.195152,2.3659282,2
-30.647053,7.422538,3
-9.893572,-18.539618,0
-11.9952545,-5.0728045,3
19.08243,-19.200514,1
-0.9815575,-23.462961,3
13.621296,3.4963052,3
6.3036613,18.160913,1
-16.941399,-24.120657,2
4.5185976,3.2610037,3
-26.468105,-16.45505,3
27.28318,10.091141,1
-20.196533,1.6499577,0
25.892458,-0.8577836,0
11.311705,22.553732,3
1.2357249,-31.297302,3
18.229582,-26.062859,0
7.883764,-17.745232,2
-9.210778,-25.58429,0
14.944566,-17.76313,0
-0.02180529,-29.737976,3
16.443586,28.20494,3
26.314444,8.380244,3
-5.956998,-31.137632,0
-4.690673,9.386772,0
-7.8137975,26.965597,3
0.85579056,-22.132587,3
11.143695,14.881464,3
-10.172504,-12.75473,2
-10.573169,-4.6141376,3
4.839322,1.9054438,3
4.8803463,9.547888,0
-4.448325,-6.7052655,1
-8.575692,-22.588434,2
7.5386424,-15.994559,0
-28.686127,-9.612552,0
-10.744977,23.971748,1
27.920351,2.8803046,1
19.100325,-13.711197,0
10.28141,15.3157835,3
8.341727,-36.4129,3
20.650063,-3.028618,2
22.94589,1.5026242,3
7.4255548,-3.8885636,0
-10.839813,14.971294,3
21.343597,13.102065,3
19.990114,3.9634707,3
1.5801599,29.10203,0
16.530684,-27.696194,0
19.739834,-28.334515,0
-3.1167655,-0.6559336,3
26.694992,-18.166498,1
-14.732864,-12.765987,1
19.101135,3.5866365,0
0.59151536,4.018779,1
-29.938862,15.949746,1
19.127247,23.675758,2
7.428022,-4.1752596,2
-5.3300815,-12.028785,0
1.2527548,13.947038,3
-10.828007,12.044434,3
-19.7495,-15.769459,2
5.4871426,2.2384295,3
-3.7749178,2.9840353,3
-22.490307,-4.105748,3
-6.7443433,5.55441,3
29.895493,2.425579,3
3.1725953,12.435457,0
11.023084,-28.25089,0
-9.841605,29.569124,1
-17.837564,24.530706,0
21.953249,14.013309,3
15.755606,-2.0625823,0
-1.6278694,-2.8305626,1
-18.279175,-9.9678,3
29.650074,4.685237,0
-6.867613,-16.526157,0
-13.972376,-3.2420135,1
24.535154,21.59165,1
-5.1921787,8.978483,3
18.228998,-17.90534,1
-0.416902,-12.453043,0
6.5778484,-4.324275,2
-25.617773,13.129451,0
14.940711,-8.420188,1
0.57141846,13.794642,1
-3.1072938,13.123766,0
18.940125,-20.582851,0
9.3483715,-13.507217,2
1.2607701,-17.115517,0
4.909875,-0.31119508,3
-16.835516,6.1001005,2
13.655634,24.251537,3
24.03865,15.067129,3
5.704218,-7.223615,3
4.547356,-14.060267,0
-3.633603,20.04857,3
2.8291993,6.7954273,1
20.601278,1.0584271,0
27.504183,-10.38685,2
-20.55838,10.184541,0
6.0149903,27.023043,3
17.462025,-12.979153,2
3.1174645,-27.171482,3
-18.304512,-4.3948903,0
-4.858999,-24.076334,3
-18.266447,5.197023,1
-14.995538,9.655589,2
-23.606905,17.137266,1
16.313845,-28.188217,3
13.691187,10.597797,1
-22.488615,-5.9663067,0
-10.371252,4.028058,2
-23.942858,-14.958414,1
21.538574,5.4535594,0
-26.136292,-18.317253,1
-4.6816797,31.442476,1
11.263593,15.661947,0
-15.439179,-12.068255,0
6.2202206,30.386816,3
-22.541859,-16.602789,0
-22.220207,13.294244,3
-19.207405,8.507221,1
10.032881,24.846804,0
-32.275528,8.971791,0
-7.745285,11.80245,3
-23.256828,-21.185062,1
-1.838122,11.974072,2
-23.363289,15.37019,3
30.436066,-9.110668,2
2.8866928,-24.848555,3
16.91914,12.907629,3
-34.345398,-2.2385826,3
-15.596785,-30.24298,2
-27.56909,9.77142,2
4.5642533,-19.218338,3
1.5467428,5.260571,0
-21.649366,-2.7633755,0
19.832378,-5.8386765,2
-14.163567,25.796684,1
-29.422003,-13.8238125,0
-0.084285565,-30.161978,0
-13.011765,20.215603,3
8.399074,1.0566773,0
0.57126206,1.8084451,1
-16.192644,24.652,0
-23.919428,6.306047,0
6.4316573,15.801073,1
-4.8270063,-18.591791,3
3.2936304,9.660907,3
15.993397,25.20215,1
-14.33647,11.175631,1
14.248437,9.24332,3
-13.6049795,21.977617,1
-31.291443,-6.976983,3
-20.902443,-5.626154,3
9.509341,-33.706657,1
10.183384,19.454653,3
-20.045885,-1.9031444,0
26.314255,-11.671524,0
-29.218292,6.32558,1
22.185741,16.074884,0
5.3887973,19.500769,1
17.88409,17.072056,0
-0.12930445,20.072084,2
18.127235,-22.879076,3
15.85847,2.5564842,3
17.951311,-3.4200177,3
-12.019525,-24.155516,2
-10.900193,-11.461326,2
2.1114774,-17.157497,3
25.412113,-1.9429688,2
-34.80587,5.898716,1
-28.34907,-1.8138901,2
-19.796104,4.206102,0
16.198193,10.3812685,1
2.6208186,-26.57141,3
-13.572846,-14.621264,2
20.946413,11.462011,2
8.525563,-23.563822,2
-33.380318,5.133783,3
-22.422077,-12.723606,0
18.91089,26.065075,0
-16.922726,-19.105322,1
1.6052532,-15.535855,2
-32.366222,-9.193638,3
3.2051163,14.039368,3
-10.866189,14.294405,0
6.717118,28.874735,3
-18.918955,-2.461109,3
-11.126404,13.7292385,1
-27.51922,13.351567,0
0.6645059,-21.267534,3
-7.235524,-24.219944,3
-3.2229478,-7.08781,1
-23.620375,-8.457556,1
12.209914,-11.44792,0
-8.057992,4.3746133,2
29.410662,-3.082263,0
-2.0959213,1.0668938,0
2.1945622,-24.420795,2
13.425143,5.4785905,3
-0.5686374,28.115915,0
7.579634,-2.3759584,1
-8.243464,-9.946592,2
27.56052,12.723253,3
22.901066,3.754505,3
-9.79636,-4.1705413,0
-21.532167,-1.9255073,0
10.937815,-22.193718,2
16.463024,5.7254667,3
-34.562572,-2.920927,0
3.8932714,-8.01787,3
29.819157,11.933022,3
23.878325,6.299772,3
0.93604237,-0.45364136,1
-15.529753,0.69619435,3
-31.355412,-0.6082524,2
10.359906,-29.409594,1
11.670429,-1.8809022,3
-13.565593,-25.723478,2
2.2205389,4.390367,3
1.0069691,7.38796,1
-14.626774,-10.312003,2
6.6272593,-33.61162,3
9.487002,-1.587163,0
-3.7287283,-0.849312,1
-1.8386647,1.5007275,2
21.015015,-5.0801353,3
24.763178,-21.241402,2
-5.408623,-5.427819,0
8.183377,-5.2762747,0
16.79149,23.744724,3
-13.547911,-18.637426,2
8.209587,20.74817,0
-23.669352,17.276188,3
-23.286636,11.341191,0
-26.736202,-6.4576573,3
-1.1989704,17.772041,3
-2.8953397,-24.206345,0
-1.5351392,20.875893,3
-17.422173,17.292244,0
17.32018,21.184832,0
-7.3699665,14.790299,2
25.367027,20.504566,3
11.488741,-30.837725,0
0.25430942,-17.66387,3
-11.8328,27.280441,1
-5.4829764,-15.242109,0
26.024458,4.654125,3
-9.737809,-13.362079,3
21.412952,-1.9075508,1
13.780885,26.012716,3
21.558764,-12.335952,2
-31.674044,-8.370617,1
-31.579088,1.0493174,0
-10.622737,-9.393892,3
3.8266058,12.529799,3
24.764585,-11.897834,2
-13.887799,-11.375789,0
-28.427444,-14.31342,3
9.995309,9.365586,2
-14.513051,10.235792,0
11.799018,11.332005,1
-3.419354,6.153523,0
-9.44681,4.179378,3
30.010729,7.2712317,3
-6.4561343,-27.827578,3
9.893022,-13.039205,2
-1.6326979,2.8531313,1
24.429909,2.9365144,3
10.413641,-2.6388404,3
10.256316,6.609603,3
-3.2211702,-14.30569,3
-12.743731,9.588305,3
-14.79768,1.7483678,3
-6.3357267,30.54375,3
-3.833065,-3.6272013,0
-6.555708,24.66183,3
-21.260416,-15.131896,2
24.384592,7.5313687,1
3.818015,6.8773384,3
-9.701047,-3.0084038,2
14.756172,14.269502,1
28.534702,-8.715565,0
23.903906,-4.1744666,3
0.39850697,19.55084,3
-14.222328,18.083178,3
-24.284111,-13.871136,2
21.654497,8.170774,1
-3.6745563,12.010853,3
-26.946508,-18.558071,3
-0.77098125,17.586138,1
-10.986485,1.4713806,2
7.7254252,-12.688379,3
2.6312542,-19.090769,1
-28.102482,9.996149,2
-22.832083,-7.076087,3
-4.6546855,26.729399,1
-7.515264,17.097958,2
-25.075476,-7.0368767,3
12.130019,-0.68399376,1
7.2810674,14.479085,3
-4.883753,7.8415704,1
-4.515141,-1.2529733,3
-15.577932,-4.2800164,2
11.860645,-0.21162367,1
-5.5877175,22.126902,0
10.46142,-27.188293,3
31.192272,2.4884925,0
-26.694496,-3.5780935,3
-3.3263586,13.575036,3
15.7410555,-17.265093,0
-0.3710589,-17.807306,2
-22.76103,13.993472,1
-1.0243074,20.995647,3
5.6238766,27.632349,0
12.8495035,-17.15222,2
-5.8794584,10.555348,0
6.4435663,-20.708565,0
-21.384413,1.5531888,2
-8.069648,-11.907713,0
-21.433243,-1.9935807,3
9.929191,19.757456,3
-4.921064,21.705381,0
14.007072,20.86185,3
25.662338,18.73576,0
-0.39237708,-28.215101,3
9.537927,-2.1262994,2
2.672357,16.207413,3
-11.415691,4.4817786,3
9.484387,-9.25318,3
2.1892679,22.87488,3
-11.13833,20.961996,3
-13.915257,-20.549093,2
-14.018011,3.2239456,1
-13.065793,12.757243,3
24.545725,-3.6315675,0
-14.030612,11.607084,3
7.209747,12.294441,1
7.6680803,21.950706,3
11.34642,2.9443278,3
-24.180943,3.3607392,2
5.769426,-10.110407,1
12.234149,8.533161,1
10.462971,-4.0254464,3
-19.955454,2.4105148,3
5.082003,15.461354,1
-16.107294,1.1141583,2
-6.3322906,-19.312654,1
8.471632,2.5902522,3
-1.6270158,9.264018,0
-3.5101657,20.522045,0
-8.04973,1.8992196,2
-19.991796,17.20293,0
-28.402391,2.4024618,1
5.2512765,-31.114195,1
-9.481278,9.491204,0
14.568426,-28.372726,3
13.422556,3.859835,0
-17.857185,14.400088,2
26.02945,20.09535,1
6.374999,5.769907,3
-16.703825,12.360004,3
-2.7522485,-10.22476,0
-13.7379055,0.1354457,3
22.843277,-8.068599,0
10.585566,9.713531,3
-6.064592,20.676535,3
-29.062332,-4.4850483,0
-5.1189814,-15.105689,0
-29.256138,11.574578,2
-14.4629755,-30.062712,2
-1.6764644,-8.41197,3
-4.8922625,-10.320245,0
24.538982,20.151838,3
13.811619,11.735368,0
-12.210631,-30.523607,3
15.3699465,4.0043116,2
25.267853,-8.647159,3
13.65788,-6.076146,1
-4.1626344,-28.423962,0
23.509743,12.466681,0
-1.9919637,19.152641,0
1.1355202,22.24102,3
23.146301,-8.484307,3
2.0422115,-11.614794,1
-11.183782,-18.09512,2
-16.523054,-6.8465943,2
-4.207954,-8.210532,3
6.6358767,-35.83433,0
-0.96344215,-35.013306,3
-25.704819,8.798577,0
-23.05091,0.046084117,2
-1.3246545,-23.247307,2
-20.939857,15.543513,3
-7.448066,-2.8319683,3
-0.115068465,-10.784374,3
-10.159053,6.6127048,3
27.949682,-4.953293,2
23.592478,12.967657,0
17.819525,-12.436829,0
-13.57762,-10.3495655,3
-1.8203313,30.444832,3
7.3793993,-32.746662,3
-9.619811,21.522398,1
25.169344,-7.424221,3
10.4279375,32.43552,3
21.07869,-5.561217,3
-15.326624,-3.4746876,1
-16.328121,-4.841329,1
-11.103241,-1.2671013,3
-22.62425,12.4638405,3
22.83275,14.103566,2
28.865952,-4.3193545,1
21.080717,-10.729208,0
13.423123,-8.825293,3
-6.4495173,15.0155735,2
29.568275,4.9994507,1
14.859569,26.889513,1
20.074009,-24.790157,0
-3.0657697,-22.92164,2
19.075052,-9.854599,2
22.996807,15.164482,0
-26.143269,-17.559614,3
29.023281,9.394349,1
9.490448,21.936476,3
18.592493,21.20181,3
-17.187151,-25.206066,0
-30.545633,11.4383135,3
-8.12705,18.390158,2
-21.3154,6.392307,1
-16.617905,-21.11021,3
-13.6539755,-13.436448,1
7.0507517,23.144827,1
26.75443,4.9403634,1
